Rank,grid_id,Actual_Crime_Count,Target_Period
288,1058,0,202302
289,1057,0,202302
290,1056,0,202302
291,1179,0,202302
292,1048,0,202302
293,1043,0,202302
294,1041,0,202302
295,1011,0,202302
296,1008,0,202302
297,1003,0,202302
298,1001,0,202302
299,2608,0,202302
300,1348,0,202302
301,1177,0,202302
302,1169,0,202302
303,1152,0,202302
304,1134,0,202302
305,1120,0,202302
306,1119,0,202302
307,1108,0,202302
308,1107,0,202302
309,1065,0,202302
310,1323,0,202302
311,1100,0,202302
312,1094,0,202302
313,1091,0,202302
314,1076,0,202302
315,1329,0,202302
316,1331,0,202302
317,1073,0,202302
318,1102,0,202302
319,875,0,202302
320,684,0,202302
321,109,0,202302
322,1914,0,202302
323,636,0,202302
324,279,0,202302
325,2687,0,202302
326,2360,0,202302
327,2240,0,202302
328,754,0,202302
329,1921,0,202302
330,1836,0,202302
331,1380,0,202302
332,1784,0,202302
333,1703,0,202302
334,1389,0,202302
335,1132,0,202302
336,1025,0,202302
337,1775,0,202302
338,2213,0,202302
339,774,0,202302
340,2435,0,202302
341,2745,0,202302
342,2333,0,202302
343,988,0,202302
344,1707,0,202302
345,860,0,202302
346,69,0,202302
347,618,0,202302
348,1218,0,202302
349,2533,0,202302
350,1859,0,202302
351,394,0,202302
352,2419,0,202302
353,690,0,202302
354,814,0,202302
355,2008,0,202302
356,1004,0,202302
357,1531,0,202302
358,1492,0,202302
359,1737,0,202302
360,1017,0,202302
361,903,0,202302
362,560,0,202302
363,1403,0,202302
364,786,0,202302
365,902,0,202302
366,1730,0,202302
367,2586,0,202302
368,670,0,202302
369,1592,0,202302
370,2683,0,202302
371,2552,0,202302
372,800,0,202302
373,2181,0,202302
374,1330,0,202302
375,2286,0,202302
376,214,0,202302
377,181,0,202302
378,1480,0,202302
379,1410,0,202302
380,343,0,202302
381,1803,0,202302
382,1591,0,202302
383,2069,0,202302
384,1060,0,202302
385,2304,0,202302
386,1495,0,202302
387,2655,0,202302
388,704,0,202302
389,528,0,202302
390,1382,0,202302
391,245,0,202302
392,310,0,202302
393,2774,0,202302
394,2762,0,202302
395,2439,0,202302
396,2410,0,202302
397,1621,0,202302
398,2749,0,202302
399,2754,0,202302
400,286,0,202302
401,2349,0,202302
402,884,0,202302
403,630,0,202302
404,2673,0,202302
405,2493,0,202302
406,2261,0,202302
407,2212,0,202302
408,142,0,202302
409,1576,0,202302
410,2064,0,202302
411,1274,0,202302
412,1738,0,202302
413,1642,0,202302
414,1325,0,202302
415,1715,0,202302
416,1242,0,202302
417,921,0,202302
418,2701,0,202302
419,2377,0,202302
420,1928,0,202302
421,863,0,202302
422,169,0,202302
423,1678,0,202302
424,1610,0,202302
425,1183,0,202302
426,1461,0,202302
427,1358,0,202302
428,834,0,202302
429,719,0,202302
430,557,0,202302
431,543,0,202302
432,1261,0,202302
433,1243,0,202302
434,321,0,202302
435,2578,0,202302
436,2122,0,202302
437,1818,0,202302
438,173,0,202302
439,1720,0,202302
440,1346,0,202302
441,1161,0,202302
442,1024,0,202302
443,501,0,202302
444,1417,0,202302
445,1409,0,202302
446,1105,0,202302
447,1072,0,202302
448,1042,0,202302
449,2263,0,202302
450,1742,0,202302
451,2489,0,202302
452,1609,0,202302
453,21,0,202302
454,1217,0,202302
455,1476,0,202302
456,679,0,202302
457,308,0,202302
458,2718,0,202302
459,999,0,202302
460,2581,0,202302
461,2405,0,202302
462,269,0,202302
463,1355,0,202302
464,1585,0,202302
465,733,0,202302
466,2177,0,202302
467,2210,0,202302
468,54,0,202302
469,334,0,202302
470,2708,0,202302
471,2467,0,202302
472,2274,0,202302
473,2223,0,202302
474,1420,0,202302
475,20,0,202302
476,604,0,202302
477,82,0,202302
478,1903,0,202302
479,1797,0,202302
480,1741,0,202302
481,1711,0,202302
482,1654,0,202302
483,156,0,202302
484,1508,0,202302
485,2147,0,202302
486,367,0,202302
487,360,0,202302
488,347,0,202302
489,340,0,202302
490,337,0,202302
491,33,0,202302
492,302,0,202302
493,287,0,202302
494,284,0,202302
495,1676,0,202302
496,282,0,202302
497,2815,0,202302
498,2814,0,202302
499,2811,0,202302
500,281,0,202302
501,2808,0,202302
502,2805,0,202302
503,2795,0,202302
504,2770,0,202302
505,2765,0,202302
506,283,0,202302
507,486,0,202302
508,470,0,202302
509,466,0,202302
510,460,0,202302
511,448,0,202302
512,445,0,202302
513,440,0,202302
514,44,0,202302
515,438,0,202302
516,38,0,202302
517,431,0,202302
518,43,0,202302
519,425,0,202302
520,408,0,202302
521,398,0,202302
522,395,0,202302
523,393,0,202302
524,390,0,202302
525,39,0,202302
526,384,0,202302
527,437,0,202302
528,2598,0,202302
529,2589,0,202302
530,2585,0,202302
531,2573,0,202302
532,2570,0,202302
533,2567,0,202302
534,2566,0,202302
535,2560,0,202302
536,2529,0,202302
537,2760,0,202302
538,2512,0,202302
539,2509,0,202302
540,2503,0,202302
541,2502,0,202302
542,250,0,202302
543,25,0,202302
544,2491,0,202302
545,2483,0,202302
546,2481,0,202302
547,2480,0,202302
548,2516,0,202302
549,276,0,202302
550,275,0,202302
551,2746,0,202302
552,2726,0,202302
553,2724,0,202302
554,2722,0,202302
555,2705,0,202302
556,2699,0,202302
557,2686,0,202302
558,2685,0,202302
559,26,0,202302
560,2677,0,202302
561,2672,0,202302
562,2670,0,202302
563,2658,0,202302
564,2643,0,202302
565,2637,0,202302
566,2624,0,202302
567,2621,0,202302
568,2617,0,202302
569,2616,0,202302
570,2679,0,202302
571,797,0,202302
572,794,0,202302
573,787,0,202302
574,785,0,202302
575,778,0,202302
576,775,0,202302
577,768,0,202302
578,763,0,202302
579,75,0,202302
580,488,0,202302
581,738,0,202302
582,737,0,202302
583,726,0,202302
584,725,0,202302
585,723,0,202302
586,72,0,202302
587,711,0,202302
588,698,0,202302
589,683,0,202302
590,680,0,202302
591,745,0,202302
592,908,0,202302
593,906,0,202302
594,9,0,202302
595,896,0,202302
596,885,0,202302
597,867,0,202302
598,859,0,202302
599,856,0,202302
600,855,0,202302
601,848,0,202302
602,802,0,202302
603,833,0,202302
604,832,0,202302
605,140,0,202302
606,1198,0,202302
607,2117,0,202302
608,2420,0,202302
609,2571,0,202302
610,823,0,202302
611,822,0,202302
612,806,0,202302
613,843,0,202302
614,573,0,202302
615,57,0,202302
616,569,0,202302
617,566,0,202302
618,563,0,202302
619,558,0,202302
620,553,0,202302
621,552,0,202302
622,547,0,202302
623,678,0,202302
624,533,0,202302
625,531,0,202302
626,522,0,202302
627,519,0,202302
628,511,0,202302
629,508,0,202302
630,507,0,202302
631,499,0,202302
632,494,0,202302
633,49,0,202302
634,534,0,202302
635,677,0,202302
636,672,0,202302
637,662,0,202302
638,659,0,202302
639,658,0,202302
640,657,0,202302
641,652,0,202302
642,650,0,202302
643,644,0,202302
644,642,0,202302
645,578,0,202302
646,63,0,202302
647,624,0,202302
648,609,0,202302
649,603,0,202302
650,602,0,202302
651,600,0,202302
652,594,0,202302
653,589,0,202302
654,587,0,202302
655,584,0,202302
656,632,0,202302
657,1783,0,202302
658,1782,0,202302
659,1781,0,202302
660,1780,0,202302
661,178,0,202302
662,1757,0,202302
663,1755,0,202302
664,1754,0,202302
665,174,0,202302
666,248,0,202302
667,1724,0,202302
668,1717,0,202302
669,1712,0,202302
670,1691,0,202302
671,1682,0,202302
672,1677,0,202302
673,1671,0,202302
674,1668,0,202302
675,1650,0,202302
676,165,0,202302
677,1728,0,202302
678,1896,0,202302
679,1895,0,202302
680,1890,0,202302
681,1880,0,202302
682,1879,0,202302
683,1872,0,202302
684,1870,0,202302
685,1862,0,202302
686,1846,0,202302
687,1843,0,202302
688,1786,0,202302
689,1840,0,202302
690,184,0,202302
691,1828,0,202302
692,1820,0,202302
693,1815,0,202302
694,1810,0,202302
695,1808,0,202302
696,1805,0,202302
697,1801,0,202302
698,1800,0,202302
699,1842,0,202302
700,1515,0,202302
701,1504,0,202302
702,1500,0,202302
703,15,0,202302
704,1497,0,202302
705,1493,0,202302
706,1484,0,202302
707,1479,0,202302
708,1465,0,202302
709,1649,0,202302
710,1459,0,202302
711,1449,0,202302
712,1448,0,202302
713,1443,0,202302
714,144,0,202302
715,1439,0,202302
716,1425,0,202302
717,1421,0,202302
718,1414,0,202302
719,1408,0,202302
720,1460,0,202302
721,1646,0,202302
722,1644,0,202302
723,1632,0,202302
724,1628,0,202302
725,1626,0,202302
726,1617,0,202302
727,1616,0,202302
728,1615,0,202302
729,1614,0,202302
730,16,0,202302
731,1517,0,202302
732,1596,0,202302
733,1575,0,202302
734,1572,0,202302
735,1560,0,202302
736,1551,0,202302
737,155,0,202302
738,1544,0,202302
739,1527,0,202302
740,1524,0,202302
741,152,0,202302
742,1599,0,202302
743,2335,0,202302
744,2321,0,202302
745,2316,0,202302
746,2306,0,202302
747,2302,0,202302
748,2295,0,202302
749,2289,0,202302
750,2287,0,202302
751,2285,0,202302
752,1898,0,202302
753,2275,0,202302
754,2271,0,202302
755,2259,0,202302
756,2258,0,202302
757,2251,0,202302
758,2249,0,202302
759,2239,0,202302
760,2231,0,202302
761,2230,0,202302
762,2224,0,202302
763,2282,0,202302
764,2479,0,202302
765,2474,0,202302
766,2472,0,202302
767,2464,0,202302
768,2463,0,202302
769,2458,0,202302
770,2457,0,202302
771,2455,0,202302
772,2452,0,202302
773,2446,0,202302
774,2362,0,202302
775,2418,0,202302
776,2406,0,202302
777,2399,0,202302
778,2393,0,202302
779,2389,0,202302
780,2381,0,202302
781,238,0,202302
782,2378,0,202302
783,2375,0,202302
784,2374,0,202302
785,2437,0,202302
786,2081,0,202302
787,2075,0,202302
788,2074,0,202302
789,2066,0,202302
790,2065,0,202302
791,2056,0,202302
792,205,0,202302
793,2046,0,202302
794,2021,0,202302
795,2217,0,202302
796,2018,0,202302
797,201,0,202302
798,2006,0,202302
799,2,0,202302
800,1995,0,202302
801,1979,0,202302
802,1973,0,202302
803,1970,0,202302
804,1944,0,202302
805,1943,0,202302
806,2019,0,202302
807,2208,0,202302
808,2203,0,202302
809,2195,0,202302
810,2189,0,202302
811,2186,0,202302
812,2182,0,202302
813,2175,0,202302
814,2172,0,202302
815,217,0,202302
816,2168,0,202302
817,2100,0,202302
818,2158,0,202302
819,2143,0,202302
820,2140,0,202302
821,2133,0,202302
822,2129,0,202302
823,2124,0,202302
824,2113,0,202302
825,2109,0,202302
826,2106,0,202302
827,2102,0,202302
828,2167,0,202302
829,274,0,202302
830,2334,0,202302
831,1226,0,202302
832,1278,0,202302
833,580,0,202302
834,265,0,202302
835,1255,0,202302
836,2605,0,202302
837,1841,0,202302
838,916,0,202302
839,1240,0,202302
840,2355,0,202302
841,428,0,202302
842,2303,0,202302
843,2027,0,202302
844,1589,0,202302
845,231,0,202302
846,2415,0,202302
847,1839,0,202302
848,264,0,202302
849,332,0,202302
850,2438,0,202302
851,535,0,202302
852,258,0,202302
853,2269,0,202302
854,2440,0,202302
855,2119,0,202302
856,1103,0,202302
857,107,0,202302
858,2073,0,202302
859,2358,0,202302
860,1766,0,202302
861,457,0,202302
862,2632,0,202302
863,2738,0,202302
864,1763,0,202302
865,1634,0,202302
866,2445,0,202302
867,1574,0,202302
868,1020,0,202302
869,1194,0,202302
870,1129,0,202302
871,1250,0,202302
872,2038,0,202302
873,958,0,202302
874,897,0,202302
875,369,0,202302
876,2085,0,202302
877,1554,0,202302
878,2441,0,202302
879,1907,0,202302
880,278,0,202302
881,2337,0,202302
882,45,0,202302
883,1093,0,202302
884,714,0,202302
885,955,0,202302
886,118,0,202302
887,1521,0,202302
888,61,0,202302
889,207,0,202302
890,2692,0,202302
891,1471,0,202302
892,1813,0,202302
893,2660,0,202302
894,1749,0,202302
895,1729,0,202302
896,2254,0,202302
897,2786,0,202302
898,2785,0,202302
899,257,0,202302
900,930,0,202302
901,1171,0,202302
902,1847,0,202302
903,1437,0,202302
904,529,0,202302
905,2771,0,202302
906,2656,0,202302
907,1466,0,202302
908,1723,0,202302
909,992,0,202302
910,2084,0,202302
911,649,0,202302
912,1867,0,202302
913,2193,0,202302
914,166,0,202302
915,674,0,202302
916,2235,0,202302
917,887,0,202302
918,2003,0,202302
919,1045,0,202302
920,1272,0,202302
921,56,0,202302
922,59,0,202302
923,2826,0,202302
924,782,0,202302
925,1211,0,202302
926,1762,0,202302
927,417,0,202302
928,335,0,202302
929,645,0,202302
930,356,0,202302
931,349,0,202302
932,671,0,202302
933,701,0,202302
934,2773,0,202302
935,1092,0,202302
936,2252,0,202302
937,2640,0,202302
938,2136,0,202302
939,370,0,202302
940,2674,0,202302
941,187,0,202302
942,2397,0,202302
943,1136,0,202302
944,313,0,202302
945,555,0,202302
946,858,0,202302
947,50,0,202302
948,2723,0,202302
949,989,0,202302
950,2691,0,202302
951,1881,0,202302
952,514,0,202302
953,882,0,202302
954,530,0,202302
955,1811,0,202302
956,388,0,202302
957,900,0,202302
958,1356,0,202302
959,2709,0,202302
960,2504,0,202302
961,850,0,202302
962,2623,0,202302
963,1455,0,202302
964,1583,0,202302
965,1002,0,202302
966,1764,0,202302
967,812,0,202302
968,2544,0,202302
969,676,0,202302
970,2561,0,202302
971,30,0,202302
972,1587,0,202302
973,838,0,202302
974,2668,0,202302
975,2592,0,202302
976,2475,0,202302
977,13,0,202302
978,646,0,202302
979,361,0,202302
980,179,0,202302
981,2025,0,202302
982,505,0,202302
983,1686,0,202302
