Rank,grid_id,Predicted_Crime_Count,Actual_Crime_Count,Target_Period,Is_Highlighted
1,1299,9.673447,12,202302,True
2,1876,7.1772203,4,202302,True
3,1427,4.3790045,18,202302,True
4,881,4.237329,1,202302,True
5,193,4.007316,1,202302,True
6,449,3.796096,4,202302,True
7,2125,3.0030599,7,202302,True
8,910,2.7113817,1,202302,True
9,2571,2.3555126,0,202302,True
10,2451,2.3485007,1,202302,True
11,1319,2.2575517,1,202302,True
12,1661,1.8815796,4,202302,True
13,1099,1.8572186,1,202302,True
14,2348,1.8515059,2,202302,True
15,140,1.8126473,0,202302,True
16,1189,1.7927208,4,202302,True
17,2184,1.7158414,4,202302,True
18,2420,1.7078629,0,202302,True
19,1314,1.621893,2,202302,True
20,2548,1.6138818,2,202302,True
21,1198,1.604203,0,202302,False
22,551,1.4872035,1,202302,False
23,2076,1.458124,1,202302,False
24,2117,1.328501,0,202302,False
25,772,1.2989522,1,202302,False
26,2510,1.2025194,0,202302,False
27,120,1.192569,1,202302,False
28,2671,1.1883746,1,202302,False
29,34,1.1645997,0,202302,False
30,2810,1.1569657,0,202302,False
31,873,1.1330512,2,202302,False
32,1706,1.113695,2,202302,False
33,773,1.0693994,0,202302,False
34,2505,1.0612375,1,202302,False
35,1231,1.060911,1,202302,False
36,853,1.0597274,2,202302,False
37,2753,1.0350051,2,202302,False
38,2725,1.0203224,1,202302,False
39,1326,1.0190536,1,202302,False
40,1681,0.981276,1,202302,False
41,285,0.97418815,1,202302,False
42,70,0.9719896,2,202302,False
43,1187,0.97117406,0,202302,False
44,2099,0.96633244,2,202302,False
45,621,0.95652115,0,202302,False
46,1850,0.95452887,1,202302,False
47,1078,0.9456554,1,202302,False
48,296,0.9147058,0,202302,False
49,150,0.89172477,0,202302,False
50,2142,0.8693705,0,202302,False
51,116,0.85885495,1,202302,False
52,904,0.8494401,0,202302,False
53,1700,0.83923334,1,202302,False
54,705,0.8376183,2,202302,False
55,1114,0.82762116,2,202302,False
56,339,0.8172956,0,202302,False
57,1040,0.7954833,0,202302,False
58,1453,0.79438215,0,202302,False
59,1066,0.7935264,2,202302,False
60,1383,0.75634944,2,202302,False
61,1340,0.7559992,2,202302,False
62,227,0.73407257,0,202302,False
63,1904,0.72225356,1,202302,False
64,2130,0.693646,3,202302,False
65,2346,0.692862,0,202302,False
66,506,0.690981,1,202302,False
67,2114,0.69026726,2,202302,False
68,641,0.66347903,1,202302,False
69,2199,0.6607187,1,202302,False
70,404,0.6435045,3,202302,False
71,1983,0.64268154,0,202302,False
72,148,0.6426795,1,202302,False
73,599,0.6393034,0,202302,False
74,2606,0.6356377,1,202302,False
75,1743,0.63336855,2,202302,False
76,976,0.6312686,0,202302,False
77,2010,0.6295779,0,202302,False
78,85,0.6252741,1,202302,False
79,1787,0.6191196,0,202302,False
