Rank,grid_id,Predicted_Crime_Count,Actual_Crime_Count,Target_Period,Is_Highlighted
1,1299,9.784746,12,202302,True
2,1876,6.435992,4,202302,True
3,881,4.8845057,1,202302,True
4,1427,4.680932,18,202302,True
5,449,4.3438983,4,202302,True
6,193,3.9037817,1,202302,True
7,910,2.9095795,1,202302,True
8,2125,2.8974752,7,202302,True
9,2571,2.1912556,0,202302,True
10,1319,2.0846734,1,202302,True
11,2184,1.8642955,4,202302,True
12,2348,1.737261,2,202302,True
13,2451,1.685912,1,202302,True
14,2420,1.632375,0,202302,True
15,1189,1.5812061,4,202302,True
16,1099,1.5761908,1,202302,True
17,2548,1.5472658,2,202302,True
18,2117,1.5076481,0,202302,True
19,1198,1.5021697,0,202302,True
20,140,1.4709868,0,202302,True
21,1661,1.4398942,4,202302,False
22,1314,1.3953549,2,202302,False
23,551,1.3642931,1,202302,False
24,772,1.3336887,1,202302,False
25,873,1.3123356,2,202302,False
26,853,1.2947314,2,202302,False
27,2510,1.277537,0,202302,False
28,2810,1.2634382,0,202302,False
29,2076,1.2592422,1,202302,False
30,2753,1.2572696,2,202302,False
31,1326,1.2282231,1,202302,False
32,773,1.2260811,0,202302,False
33,120,1.1791961,1,202302,False
34,34,1.1429515,0,202302,False
35,2671,1.1312389,1,202302,False
36,2725,1.072206,1,202302,False
37,621,1.0676501,0,202302,False
38,116,1.0434219,1,202302,False
39,1706,1.0428281,2,202302,False
40,705,1.0354201,2,202302,False
41,296,0.97104216,0,202302,False
42,1681,0.9477687,1,202302,False
43,904,0.94509494,0,202302,False
44,1078,0.9305687,1,202302,False
45,1700,0.91411555,1,202302,False
46,1231,0.9125973,1,202302,False
47,285,0.9111271,1,202302,False
48,1187,0.909806,0,202302,False
49,2142,0.89882946,0,202302,False
50,2099,0.88771963,2,202302,False
51,2505,0.8802105,1,202302,False
52,1066,0.85738266,2,202302,False
53,506,0.7929516,1,202302,False
54,1850,0.79051816,1,202302,False
55,593,0.7903812,0,202302,False
56,70,0.785406,2,202302,False
57,1383,0.78189933,2,202302,False
58,404,0.77526045,3,202302,False
59,1040,0.7720176,0,202302,False
60,2606,0.75869095,1,202302,False
61,150,0.7564076,0,202302,False
