Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Is_Highlighted
128,1877,0.21052631578947367,0,2,22,False
129,127,0.19298245614035087,0,1,232,False
130,512,0.19298245614035087,0,1,121,False
131,653,0.19298245614035087,0,0,191,False
132,962,0.19298245614035087,0,0,181,False
133,1589,0.19298245614035087,0,0,18,False
134,52,0.17543859649122806,1,0,24,False
135,207,0.17543859649122806,0,0,17,False
136,1702,0.17543859649122806,0,0,7,False
137,2810,0.17543859649122806,0,0,115,False
138,1115,0.15789473684210525,2,1,74,False
139,76,0.15789473684210525,0,0,278,False
140,1802,0.15789473684210525,0,1,228,False
141,1861,0.15789473684210525,0,1,30,False
142,2730,0.15789473684210525,0,0,289,False
143,2754,0.15789473684210525,0,0,24,False
144,2787,0.15789473684210525,0,0,27,False
145,1530,0.14035087719298245,4,0,8,False
146,1066,0.14035087719298245,2,0,6,False
147,2099,0.14035087719298245,1,1,395,False
148,45,0.14035087719298245,0,0,609,False
149,327,0.14035087719298245,0,0,66,False
150,361,0.14035087719298245,0,0,164,False
151,1297,0.14035087719298245,0,2,30,False
152,1534,0.14035087719298245,0,0,426,False
153,1742,0.14035087719298245,0,0,48,False
154,2217,0.14035087719298245,0,0,182,False
155,1156,0.12280701754385964,3,0,46,False
156,65,0.12280701754385964,2,0,1,False
157,773,0.12280701754385964,1,1,11,False
158,41,0.12280701754385964,0,2,5,False
159,349,0.12280701754385964,0,0,83,False
160,561,0.12280701754385964,0,1,74,False
161,1385,0.12280701754385964,0,1,9,False
162,1723,0.12280701754385964,0,0,212,False
163,2020,0.10526315789473684,2,0,24,False
164,1035,0.10526315789473684,1,1,31,False
165,2248,0.10526315789473684,1,0,378,False
166,2477,0.10526315789473684,1,0,10,False
167,2639,0.10526315789473684,1,0,115,False
168,356,0.10526315789473684,0,0,111,False
169,530,0.10526315789473684,0,0,26,False
170,581,0.10526315789473684,0,0,64,False
171,641,0.10526315789473684,0,0,66,False
172,976,0.10526315789473684,0,0,108,False
173,1268,0.10526315789473684,0,0,75,False
174,1962,0.10526315789473684,0,1,324,False
175,2540,0.10526315789473684,0,0,38,False
176,2642,0.10526315789473684,0,1,95,False
177,2789,0.10526315789473684,0,0,416,False
178,1353,0.08771929824561403,2,0,210,False
179,1187,0.08771929824561403,1,1,123,False
180,1341,0.08771929824561403,1,0,187,False
181,578,0.08771929824561403,0,0,132,False
182,604,0.08771929824561403,0,0,154,False
183,945,0.08771929824561403,0,0,196,False
184,1098,0.08771929824561403,0,0,74,False
185,1393,0.08771929824561403,0,1,27,False
186,1984,0.08771929824561403,0,0,314,False
187,2015,0.08771929824561403,0,0,155,False
188,2205,0.08771929824561403,0,1,222,False
189,2696,0.08771929824561403,0,0,218,False
190,2818,0.08771929824561403,0,0,14,False
191,257,0.07017543859649122,1,1,131,False
192,956,0.07017543859649122,1,0,226,False
193,2597,0.07017543859649122,1,1,9,False
194,233,0.07017543859649122,0,1,69,False
195,332,0.07017543859649122,0,0,57,False
196,904,0.07017543859649122,0,2,183,False
197,1768,0.07017543859649122,0,0,14,False
198,2744,0.07017543859649122,0,0,83,False
199,2721,0.05263157894736842,2,0,54,False
200,28,0.05263157894736842,1,1,215,False
201,70,0.05263157894736842,1,1,45,False
202,879,0.05263157894736842,1,0,99,False
203,893,0.05263157894736842,1,0,48,False
204,1580,0.05263157894736842,1,0,62,False
205,284,0.05263157894736842,0,0,246,False
206,363,0.05263157894736842,0,0,10,False
207,916,0.05263157894736842,0,0,132,False
208,1033,0.05263157894736842,0,0,184,False
209,1670,0.05263157894736842,0,0,32,False
210,1792,0.05263157894736842,0,0,178,False
211,2622,0.05263157894736842,0,0,2,False
212,2638,0.05263157894736842,0,0,145,False
213,2826,0.05263157894736842,0,0,100,False
214,2084,0.03508771929824561,2,0,160,False
215,809,0.03508771929824561,1,0,200,False
216,1428,0.03508771929824561,1,0,42,False
217,1458,0.03508771929824561,1,0,108,False
218,1772,0.03508771929824561,1,0,189,False
219,2421,0.03508771929824561,1,0,107,False
220,61,0.03508771929824561,0,0,255,False
221,599,0.03508771929824561,0,1,105,False
222,614,0.03508771929824561,0,1,160,False
223,645,0.03508771929824561,0,0,123,False
224,720,0.03508771929824561,0,0,22,False
225,891,0.03508771929824561,0,0,9,False
226,1144,0.03508771929824561,0,0,192,False
227,1374,0.03508771929824561,0,0,431,False
228,1939,0.03508771929824561,0,0,32,False
229,2014,0.03508771929824561,0,0,12,False
230,2025,0.03508771929824561,0,0,235,False
231,2199,0.03508771929824561,0,0,61,False
232,2345,0.03508771929824561,0,0,79,False
233,2566,0.03508771929824561,0,0,75,False
234,296,0.017543859649122806,5,1,105,False
235,876,0.017543859649122806,1,0,230,False
236,1687,0.017543859649122806,1,0,311,False
237,1912,0.017543859649122806,1,0,73,False
238,2137,0.017543859649122806,1,0,123,False
239,146,0.017543859649122806,0,0,1,False
240,148,0.017543859649122806,0,0,127,False
241,188,0.017543859649122806,0,0,520,False
242,480,0.017543859649122806,0,1,51,False
243,523,0.017543859649122806,0,0,123,False
244,603,0.017543859649122806,0,0,379,False
245,676,0.017543859649122806,0,0,21,False
246,948,0.017543859649122806,0,0,181,False
247,1094,0.017543859649122806,0,0,282,False
248,1167,0.017543859649122806,0,0,55,False
249,1236,0.017543859649122806,0,0,121,False
250,1302,0.017543859649122806,0,0,101,False
251,1775,0.017543859649122806,0,0,308,False
252,1787,0.017543859649122806,0,3,2,False
253,2212,0.017543859649122806,0,0,560,False
254,2269,0.017543859649122806,0,1,103,False
255,2340,0.017543859649122806,0,0,17,False
256,2369,0.017543859649122806,0,0,66,False
257,2429,0.017543859649122806,0,0,276,False
258,2590,0.017543859649122806,0,0,499,False
259,2712,0.017543859649122806,0,1,126,False
260,2773,0.017543859649122806,0,1,169,False
261,320,0.0,3,2,300,False
262,2072,0.0,3,2,192,False
263,439,0.0,2,0,166,False
264,761,0.0,2,0,12,False
265,1087,0.0,2,0,195,False
266,1133,0.0,2,0,295,False
267,1158,0.0,2,0,12,False
268,1226,0.0,2,0,216,False
269,1750,0.0,2,0,57,False
270,2326,0.0,2,0,12,False
271,13,0.0,1,0,305,False
272,30,0.0,1,1,28,False
273,71,0.0,1,0,16,False
274,97,0.0,1,0,206,False
275,110,0.0,1,0,188,False
276,114,0.0,1,0,257,False
277,142,0.0,1,0,459,False
278,168,0.0,1,0,139,False
279,216,0.0,1,1,31,False
280,258,0.0,1,0,380,False
281,441,0.0,1,1,445,False
282,595,0.0,1,0,209,False
283,618,0.0,1,0,439,False
284,684,0.0,1,0,90,False
285,710,0.0,1,0,46,False
286,900,0.0,1,0,23,False
287,920,0.0,1,0,180,False
288,921,0.0,1,0,274,False
289,967,0.0,1,0,142,False
290,1129,0.0,1,0,487,False
291,1169,0.0,1,0,434,False
292,1171,0.0,1,0,806,False
293,1211,0.0,1,2,46,False
294,1215,0.0,1,0,157,False
295,1217,0.0,1,2,266,False
296,1269,0.0,1,1,191,False
297,1408,0.0,1,0,439,False
298,1532,0.0,1,0,140,False
299,1554,0.0,1,0,63,False
300,1558,0.0,1,0,137,False
301,1574,0.0,1,0,357,False
302,1634,0.0,1,0,296,False
303,1654,0.0,1,0,403,False
304,1686,0.0,1,0,20,False
305,1729,0.0,1,1,271,False
306,1776,0.0,1,0,318,False
307,1777,0.0,1,1,93,False
308,1803,0.0,1,0,251,False
309,1808,0.0,1,0,394,False
310,1813,0.0,1,0,57,False
311,1855,0.0,1,0,236,False
312,1881,0.0,1,2,359,False
313,1886,0.0,1,0,289,False
314,1945,0.0,1,0,186,False
315,1966,0.0,1,0,264,False
316,1980,0.0,1,0,405,False
317,1993,0.0,1,0,192,False
318,2023,0.0,1,0,257,False
319,2071,0.0,1,0,16,False
320,2073,0.0,1,0,23,False
321,2083,0.0,1,0,24,False
322,2098,0.0,1,0,323,False
323,2128,0.0,1,0,322,False
324,2129,0.0,1,0,174,False
325,2247,0.0,1,0,345,False
326,2278,0.0,1,0,314,False
327,2280,0.0,1,0,272,False
328,2309,0.0,1,1,40,False
329,2362,0.0,1,0,189,False
330,2395,0.0,1,1,251,False
331,2413,0.0,1,0,134,False
332,2440,0.0,1,0,40,False
333,2447,0.0,1,0,155,False
334,2469,0.0,1,0,383,False
335,2478,0.0,1,1,192,False
336,2488,0.0,1,0,251,False
337,2506,0.0,1,0,257,False
338,2533,0.0,1,0,129,False
339,2534,0.0,1,0,140,False
340,2544,0.0,1,0,546,False
341,2567,0.0,1,0,330,False
342,2656,0.0,1,0,23,False
343,2675,0.0,1,0,465,False
344,2717,0.0,1,1,16,False
345,2720,0.0,1,0,325,False
346,2734,0.0,1,0,75,False
347,2745,0.0,1,0,169,False
348,2751,0.0,1,0,135,False
349,2,0.0,0,0,411,False
350,7,0.0,0,0,433,False
351,9,0.0,0,0,139,False
352,10,0.0,0,0,870,False
353,12,0.0,0,0,381,False
354,14,0.0,0,0,251,False
355,15,0.0,0,0,398,False
356,16,0.0,0,0,765,False
357,18,0.0,0,0,301,False
358,20,0.0,0,0,377,False
359,21,0.0,0,0,298,False
360,25,0.0,0,0,397,False
361,26,0.0,0,0,382,False
362,27,0.0,0,1,36,False
363,33,0.0,0,0,498,False
364,35,0.0,0,0,556,False
365,38,0.0,0,0,295,False
366,39,0.0,0,0,719,False
367,42,0.0,0,0,62,False
368,43,0.0,0,0,581,False
369,44,0.0,0,0,514,False
370,49,0.0,0,0,109,False
371,50,0.0,0,1,971,False
372,51,0.0,0,0,178,False
373,54,0.0,0,0,81,False
374,56,0.0,0,0,11,False
375,57,0.0,0,0,614,False
376,59,0.0,0,0,101,False
377,60,0.0,0,0,358,False
378,62,0.0,0,0,165,False
379,63,0.0,0,0,109,False
380,66,0.0,0,0,127,False
381,69,0.0,0,0,353,False
382,72,0.0,0,0,361,False
383,73,0.0,0,2,334,False
384,75,0.0,0,0,622,False
385,77,0.0,0,0,105,False
386,78,0.0,0,0,238,False
387,82,0.0,0,1,301,False
388,87,0.0,0,0,458,False
389,88,0.0,0,0,335,False
390,94,0.0,0,0,353,False
391,95,0.0,0,0,614,False
392,98,0.0,0,0,88,False
393,99,0.0,0,0,100,False
394,100,0.0,0,0,309,False
395,101,0.0,0,0,147,False
396,103,0.0,0,0,465,False
397,105,0.0,0,0,360,False
398,106,0.0,0,0,355,False
399,107,0.0,0,0,183,False
400,109,0.0,0,1,192,False
401,112,0.0,0,0,859,False
402,118,0.0,0,0,326,False
403,119,0.0,0,0,169,False
404,123,0.0,0,0,257,False
405,125,0.0,0,0,316,False
406,131,0.0,0,0,592,False
407,136,0.0,0,0,334,False
408,139,0.0,0,0,386,False
409,144,0.0,0,0,831,False
410,151,0.0,0,0,529,False
411,152,0.0,0,0,349,False
412,155,0.0,0,0,436,False
413,156,0.0,0,0,126,False
414,157,0.0,0,0,137,False
415,159,0.0,0,0,111,False
416,160,0.0,0,1,177,False
417,162,0.0,0,0,385,False
418,164,0.0,0,0,419,False
419,165,0.0,0,0,418,False
420,166,0.0,0,0,129,False
421,169,0.0,0,0,44,False
422,170,0.0,0,0,170,False
423,173,0.0,0,0,477,False
424,174,0.0,0,0,377,False
425,175,0.0,0,0,1,False
426,177,0.0,0,0,152,False
427,178,0.0,0,0,694,False
428,179,0.0,0,0,533,False
429,181,0.0,0,0,515,False
430,182,0.0,0,1,134,False
431,184,0.0,0,0,227,False
432,187,0.0,0,0,127,False
