Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Target_Period,Is_Highlighted
1,1299,1.0,12,11,19,202303,True
2,449,0.9864864864864865,4,4,4,202303,True
3,1876,0.9864864864864865,4,7,5,202303,True
4,881,0.972972972972973,1,4,2,202303,True
5,2548,0.9594594594594594,2,5,3,202303,True
6,1661,0.9459459459459459,4,0,36,202303,True
7,1314,0.9459459459459459,2,0,13,202303,True
8,193,0.9324324324324325,1,4,2,202303,True
9,1319,0.9324324324324325,1,0,41,202303,True
10,140,0.9324324324324325,0,1,2,202303,True
11,853,0.918918918918919,2,0,26,202303,True
12,2125,0.9054054054054054,7,3,326,202303,True
13,1850,0.9054054054054054,1,3,7,202303,True
14,1198,0.9054054054054054,0,2,65,202303,True
15,1427,0.8783783783783784,18,9,138,202303,True
16,2753,0.8648648648648649,2,1,5,202303,True
17,2076,0.8648648648648649,1,2,21,202303,True
18,1453,0.8648648648648649,0,2,151,202303,True
19,1189,0.8378378378378378,4,2,1,202303,True
20,873,0.8378378378378378,2,2,45,202303,True
21,551,0.8378378378378378,1,1,17,202303,False
22,2571,0.8378378378378378,0,1,32,202303,False
23,1340,0.8243243243243243,2,1,79,202303,False
24,772,0.8243243243243243,1,0,181,202303,False
25,1099,0.8243243243243243,1,2,17,202303,False
26,1994,0.8243243243243243,0,0,11,202303,False
27,1231,0.7972972972972973,1,1,32,202303,False
28,1114,0.7702702702702703,2,1,8,202303,False
29,246,0.7702702702702703,0,0,49,202303,False
30,1931,0.7567567567567568,0,0,75,202303,False
31,1573,0.7432432432432432,2,0,28,202303,False
32,1681,0.7432432432432432,1,0,22,202303,False
33,1383,0.7297297297297297,2,0,575,202303,False
34,1135,0.7297297297297297,0,1,36,202303,False
35,1326,0.7162162162162162,1,2,2,202303,False
36,120,0.7027027027027027,1,2,6,202303,False
37,2451,0.7027027027027027,1,1,38,202303,False
38,2671,0.7027027027027027,1,3,37,202303,False
39,1163,0.7027027027027027,0,1,128,202303,False
40,2114,0.6486486486486487,2,1,13,202303,False
41,113,0.6486486486486487,0,0,9,202303,False
42,2184,0.6351351351351351,4,3,8,202303,False
43,116,0.6351351351351351,1,2,7,202303,False
44,910,0.6351351351351351,1,2,2,202303,False
45,2505,0.6351351351351351,1,1,2,202303,False
46,2142,0.6351351351351351,0,0,4,202303,False
47,1706,0.6216216216216216,2,0,6,202303,False
48,2606,0.6081081081081081,1,1,26,202303,False
49,404,0.5945945945945946,3,1,29,202303,False
50,150,0.5945945945945946,0,1,49,202303,False
51,2348,0.581081081081081,2,3,6,202303,False
52,506,0.581081081081081,1,0,210,202303,False
53,593,0.581081081081081,0,0,34,202303,False
54,2420,0.581081081081081,0,2,3,202303,False
55,705,0.5405405405405406,2,1,6,202303,False
56,2117,0.5405405405405406,0,2,472,202303,False
57,2510,0.5405405405405406,0,2,1,202303,False
58,983,0.527027027027027,1,0,21,202303,False
59,1619,0.527027027027027,1,0,3,202303,False
60,1077,0.527027027027027,0,0,82,202303,False
61,37,0.5135135135135135,2,1,419,202303,False
62,1983,0.5135135135135135,0,1,7,202303,False
63,1350,0.5,3,0,107,202303,False
64,459,0.5,0,1,6,202303,False
65,1744,0.4864864864864865,0,0,14,202303,False
66,2010,0.4864864864864865,0,1,212,202303,False
67,2401,0.4864864864864865,0,0,11,202303,False
68,799,0.47297297297297297,2,0,6,202303,False
69,1606,0.47297297297297297,1,0,90,202303,False
70,1411,0.47297297297297297,0,0,50,202303,False
71,2307,0.44594594594594594,0,0,34,202303,False
72,375,0.4189189189189189,2,1,6,202303,False
73,1904,0.4189189189189189,1,0,21,202303,False
74,227,0.4189189189189189,0,0,29,202303,False
75,792,0.4189189189189189,0,0,30,202303,False
76,1262,0.4189189189189189,0,0,92,202303,False
77,2384,0.4189189189189189,0,2,29,202303,False
78,1743,0.40540540540540543,2,0,21,202303,False
79,2301,0.40540540540540543,0,1,23,202303,False
80,2130,0.3918918918918919,3,2,132,202303,False
81,1991,0.3918918918918919,0,0,96,202303,False
82,2101,0.3918918918918919,0,0,60,202303,False
83,699,0.3783783783783784,1,0,4,202303,False
84,2725,0.3783783783783784,1,3,1,202303,False
85,691,0.3783783783783784,0,1,145,202303,False
86,732,0.36486486486486486,3,1,9,202303,False
87,85,0.36486486486486486,1,0,21,202303,False
88,34,0.36486486486486486,0,3,132,202303,False
89,877,0.36486486486486486,0,0,36,202303,False
90,1334,0.36486486486486486,0,1,69,202303,False
91,293,0.35135135135135137,1,1,29,202303,False
92,1549,0.35135135135135137,1,0,29,202303,False
93,1040,0.35135135135135137,0,0,3,202303,False
94,1578,0.35135135135135137,0,0,29,202303,False
95,1700,0.33783783783783783,1,2,8,202303,False
96,1798,0.33783783783783783,1,0,81,202303,False
97,1279,0.33783783783783783,0,0,7,202303,False
98,133,0.3108108108108108,1,0,20,202303,False
99,126,0.3108108108108108,0,0,60,202303,False
100,290,0.3108108108108108,0,0,1065,202303,False
101,617,0.3108108108108108,0,2,27,202303,False
102,1386,0.3108108108108108,0,0,281,202303,False
103,259,0.2972972972972973,1,0,36,202303,False
104,53,0.2972972972972973,0,1,29,202303,False
105,285,0.28378378378378377,1,2,131,202303,False
106,1185,0.28378378378378377,1,0,89,202303,False
107,2692,0.28378378378378377,0,1,63,202303,False
108,2099,0.2702702702702703,2,1,393,202303,False
109,1078,0.2702702702702703,1,1,70,202303,False
110,2542,0.2702702702702703,1,0,1,202303,False
111,1909,0.2702702702702703,0,0,9,202303,False
112,419,0.25675675675675674,3,0,132,202303,False
113,1679,0.25675675675675674,3,0,17,202303,False
114,2779,0.25675675675675674,1,1,76,202303,False
115,1081,0.25675675675675674,0,3,264,202303,False
116,2009,0.25675675675675674,0,0,69,202303,False
117,2027,0.25675675675675674,0,1,172,202303,False
118,993,0.24324324324324326,1,0,34,202303,False
119,1998,0.24324324324324326,0,0,124,202303,False
120,1066,0.22972972972972974,2,0,10,202303,False
121,2743,0.22972972972972974,2,1,271,202303,False
122,108,0.22972972972972974,1,0,13,202303,False
123,1187,0.22972972972972974,0,2,136,202303,False
124,2198,0.21621621621621623,0,1,60,202303,False
125,2810,0.21621621621621623,0,5,109,202303,False
126,70,0.20270270270270271,2,0,37,202303,False
127,904,0.20270270270270271,0,2,192,202303,False
128,1297,0.20270270270270271,0,0,28,202303,False
129,1541,0.20270270270270271,0,0,17,202303,False
130,1877,0.20270270270270271,0,0,23,202303,False
131,512,0.1891891891891892,2,0,105,202303,False
132,296,0.1891891891891892,0,1,80,202303,False
133,582,0.1891891891891892,0,0,3,202303,False
134,773,0.1891891891891892,0,2,9,202303,False
135,1897,0.1891891891891892,0,2,10,202303,False
136,2296,0.17567567567567569,0,0,123,202303,False
137,2305,0.17567567567567569,0,0,7,202303,False
138,1768,0.16216216216216217,2,1,15,202303,False
139,127,0.16216216216216217,0,0,246,202303,False
140,555,0.16216216216216217,0,0,176,202303,False
141,1530,0.16216216216216217,0,0,6,202303,False
142,653,0.14864864864864866,1,0,211,202303,False
143,962,0.14864864864864866,0,0,196,202303,False
144,1156,0.14864864864864866,0,0,41,202303,False
145,1589,0.14864864864864866,0,0,16,202303,False
146,2787,0.14864864864864866,0,0,34,202303,False
147,2639,0.13513513513513514,3,1,109,202303,False
148,1702,0.13513513513513514,1,1,7,202303,False
149,1962,0.13513513513513514,1,0,691,202303,False
150,52,0.13513513513513514,0,0,22,202303,False
151,207,0.13513513513513514,0,0,18,202303,False
152,1115,0.12162162162162163,1,0,59,202303,False
153,76,0.12162162162162163,0,0,285,202303,False
154,1802,0.12162162162162163,0,1,243,202303,False
155,1861,0.12162162162162163,0,0,28,202303,False
156,2730,0.12162162162162163,0,0,613,202303,False
157,2754,0.12162162162162163,0,0,22,202303,False
158,327,0.10810810810810811,2,0,58,202303,False
159,641,0.10810810810810811,1,2,58,202303,False
160,45,0.10810810810810811,0,0,213,202303,False
161,65,0.10810810810810811,0,0,1,202303,False
162,361,0.10810810810810811,0,0,177,202303,False
163,599,0.10810810810810811,0,1,80,202303,False
164,1534,0.10810810810810811,0,1,424,202303,False
165,1742,0.10810810810810811,0,0,63,202303,False
166,2137,0.10810810810810811,0,0,123,202303,False
167,2217,0.10810810810810811,0,0,197,202303,False
168,2477,0.10810810810810811,0,1,14,202303,False
