Rank,grid_id,Predicted_Crime_Count,Actual_Crime_Count,Target_Period,Is_Highlighted
1,1299,11.432954,26,202303,True
2,1427,7.283112,10,202303,True
3,1876,6.5750546,2,202303,True
4,2125,4.5972524,5,202303,True
5,881,3.7257714,4,202303,True
6,449,3.3045213,7,202303,True
7,193,3.062662,3,202303,True
8,2184,2.4302661,0,202303,True
9,2348,2.1274865,0,202303,True
10,1661,1.9005636,0,202303,True
11,2548,1.8571844,2,202303,True
12,1189,1.7459319,1,202303,True
13,910,1.6217825,1,202303,True
14,1319,1.5965564,3,202303,True
15,2451,1.5536882,0,202303,True
16,873,1.4415759,6,202303,True
17,1099,1.3974937,3,202303,True
18,551,1.3858749,1,202303,True
19,853,1.3330486,0,202303,True
20,1198,1.323697,1,202303,True
21,2571,1.2772849,1,202303,False
22,1314,1.2611139,1,202303,False
23,2076,1.2452104,2,202303,False
24,772,1.2166094,2,202303,False
25,1706,1.1850159,3,202303,False
26,2725,1.1033685,4,202303,False
27,1453,1.0856867,1,202303,False
28,120,1.0856012,2,202303,False
29,2117,1.0714351,0,202303,False
30,2099,1.0563539,3,202303,False
31,2671,1.0323566,0,202303,False
32,1743,1.0135977,1,202303,False
33,1700,1.003522,2,202303,False
34,140,0.97325474,2,202303,False
35,1850,0.96915054,1,202303,False
36,773,0.94923145,0,202303,False
37,70,0.9454902,0,202303,False
38,2420,0.9425711,0,202303,False
39,285,0.94210535,0,202303,False
40,1326,0.94129467,0,202303,False
41,2639,0.930624,1,202303,False
42,1340,0.92204285,0,202303,False
43,1768,0.92130935,3,202303,False
44,2130,0.9150979,0,202303,False
45,2505,0.9058971,1,202303,False
46,1158,0.9015292,0,202303,False
47,2753,0.89748484,0,202303,False
48,404,0.8964947,1,202303,False
49,506,0.8755296,0,202303,False
50,904,0.87500453,0,202303,False
51,2199,0.8539517,2,202303,False
52,2810,0.84667754,0,202303,False
53,524,0.845637,0,202303,False
54,1231,0.8433601,0,202303,False
55,1681,0.8416874,1,202303,False
56,2114,0.8404656,0,202303,False
57,296,0.81808424,4,202303,False
58,150,0.8133042,0,202303,False
59,641,0.7766871,1,202303,False
60,116,0.7757998,1,202303,False
61,85,0.7666271,2,202303,False
62,34,0.7533193,1,202303,False
63,1078,0.7381911,1,202303,False
64,2142,0.73073816,1,202303,False
65,2363,0.7278095,0,202303,False
66,1114,0.7255512,1,202303,False
67,2606,0.713096,2,202303,False
68,1383,0.71281207,0,202303,False
69,1066,0.70465857,1,202303,False
70,705,0.6835766,4,202303,False
71,2743,0.6822979,1,202303,False
72,1187,0.66975266,2,202303,False
73,339,0.6612238,0,202303,False
74,1798,0.65935427,2,202303,False
75,732,0.64448136,0,202303,False
76,983,0.64190096,1,202303,False
77,2510,0.63449687,0,202303,False
78,375,0.63389486,1,202303,False
79,1040,0.62984014,0,202303,False
