Rank,grid_id,Crime_T1,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
1,1299,11,202302,-82.5423775208,27.3432658249,27.34101582265,-82.54491053512216,27.345515827150003,-82.53984450647785,"[(np.float64(27.34101582265), np.float64(-82.54491053512216)), (np.float64(27.345515827150003), np.float64(-82.53984450647785))]"
2,1876,7,202302,-82.5454713298,27.3460045531,27.343754550849997,-82.54800440673525,27.34825455535,-82.54293825286474,"[(np.float64(27.343754550849997), np.float64(-82.54800440673525)), (np.float64(27.34825455535), np.float64(-82.54293825286474))]"
3,449,4,202302,-82.5408106431,27.3377703438,27.335520341549998,-82.54334353181065,27.34002034605,-82.53827775438936,"[(np.float64(27.335520341549998), np.float64(-82.54334353181065)), (np.float64(27.34002034605), np.float64(-82.53827775438936))]"
4,881,4,202302,-82.5408039673,27.3363949798,27.33414497755,-82.54333682457923,27.338644982050003,-82.53827111002076,"[(np.float64(27.33414497755), np.float64(-82.54333682457923)), (np.float64(27.338644982050003), np.float64(-82.53827111002076))]"
5,2548,5,202302,-82.5470115361,27.3459985296,27.343748527349998,-82.54954461289753,27.34824853185,-82.54447845930247,"[(np.float64(27.343748527349998), np.float64(-82.54954461289753)), (np.float64(27.34824853185), np.float64(-82.54447845930247))]"
6,140,1,202302,-82.5392638921,27.336400933,27.33415093075,-82.54179674951527,27.33865093525,-82.53673103468472,"[(np.float64(27.33415093075), np.float64(-82.54179674951527)), (np.float64(27.33865093525), np.float64(-82.53673103468472))]"
7,1314,0,202302,-82.5315831958,27.3405565411,27.33830653885,-82.53411614819095,27.34280654335,-82.52905024340905,"[(np.float64(27.33830653885), np.float64(-82.53411614819095)), (np.float64(27.34280654335), np.float64(-82.52905024340905))]"
8,1661,0,202302,-82.5316751222,27.3598116289,27.35756162665,-82.53420851492943,27.362061631150002,-82.52914172947057,"[(np.float64(27.35756162665), np.float64(-82.53420851492943)), (np.float64(27.362061631150002), np.float64(-82.52914172947057))]"
9,193,4,202302,-82.542344042,27.3363890098,27.33413900755,-82.5448768991428,27.338639012050002,-82.53981118485719,"[(np.float64(27.33413900755), np.float64(-82.5448768991428)), (np.float64(27.338639012050002), np.float64(-82.53981118485719))]"
10,1319,0,202302,-82.5501938965,27.3666168016,27.364366799349998,-82.55272744495981,27.36886680385,-82.5476603480402,"[(np.float64(27.364366799349998), np.float64(-82.55272744495981)), (np.float64(27.36886680385), np.float64(-82.5476603480402))]"
11,1198,2,202302,-82.5299318818,27.3171811377,27.31493113545,-82.53246430021623,27.31943113995,-82.52739946338376,"[(np.float64(27.31493113545), np.float64(-82.53246430021623)), (np.float64(27.31943113995), np.float64(-82.52739946338376))]"
12,853,0,202302,-82.5238631145,27.3364595304,27.334209528149998,-82.52639597325437,27.33870953265,-82.52133025574564,"[(np.float64(27.334209528149998), np.float64(-82.52639597325437)), (np.float64(27.33870953265), np.float64(-82.52133025574564))]"
13,1850,3,202302,-82.5300496049,27.3419377589,27.339687756649997,-82.53258258886295,27.34418776115,-82.52751662093705,"[(np.float64(27.339687756649997), np.float64(-82.53258258886295)), (np.float64(27.34418776115), np.float64(-82.52751662093705))]"
14,2125,3,202302,-82.5331760006,27.3515535829,27.34930358065,-82.535709204425,27.35380358515,-82.53064279677498,"[(np.float64(27.34930358065), np.float64(-82.535709204425)), (np.float64(27.35380358515), np.float64(-82.53064279677498))]"
15,1427,9,202302,-82.5301150717,27.3556913992,27.35344139695,-82.53264837016826,27.357941401450002,-82.52758177323173,"[(np.float64(27.35344139695), np.float64(-82.53264837016826)), (np.float64(27.357941401450002), np.float64(-82.52758177323173))]"
16,1453,2,202302,-82.5054510132,27.3514738009,27.349223798649998,-82.50798421520038,27.35372380315,-82.50291781119962,"[(np.float64(27.349223798649998), np.float64(-82.50798421520038)), (np.float64(27.35372380315), np.float64(-82.50291781119962))]"
17,2076,2,202302,-82.5424579184,27.3597701535,27.35752015125,-82.54499131018046,27.362020155750002,-82.53992452661954,"[(np.float64(27.35752015125), np.float64(-82.54499131018046)), (np.float64(27.362020155750002), np.float64(-82.53992452661954))]"
18,2753,1,202302,-82.548551742,27.3459924891,27.343742486849997,-82.55108481865942,27.34824249135,-82.54601866534058,"[(np.float64(27.343742486849997), np.float64(-82.55108481865942)), (np.float64(27.34824249135), np.float64(-82.54601866534058))]"
19,2571,1,202302,-82.5284768295,27.3350667625,27.332816760249997,-82.53100965642739,27.33731676475,-82.5259440025726,"[(np.float64(27.332816760249997), np.float64(-82.53100965642739)), (np.float64(27.33731676475), np.float64(-82.5259440025726))]"
20,873,2,202302,-82.5392838639,27.340527025,27.33827702275,-82.54181681561629,27.34277702725,-82.5367509121837,"[(np.float64(27.33827702275), np.float64(-82.54181681561629)), (np.float64(27.34277702725), np.float64(-82.5367509121837))]"
21,1189,2,202302,-82.542384218,27.3446411871,27.342391184849998,-82.54491726376472,27.34689118935,-82.53985117223527,"[(np.float64(27.342391184849998), np.float64(-82.54491726376472)), (np.float64(27.34689118935), np.float64(-82.53985117223527))]"
22,551,1,202302,-82.5409108369,27.35840077,27.356150767749998,-82.54344419735003,27.36065077225,-82.53837747644997,"[(np.float64(27.356150767749998), np.float64(-82.54344419735003)), (np.float64(27.36065077225), np.float64(-82.53837747644997))]"
23,1994,0,202302,-82.5238695812,27.3378348982,27.33558489595,-82.52640247138598,27.34008490045,-82.52133669101403,"[(np.float64(27.33558489595), np.float64(-82.52640247138598)), (np.float64(27.34008490045), np.float64(-82.52133669101403))]"
24,1099,2,202302,-82.5424512159,27.3583947943,27.35614479205,-82.54498457621332,27.36064479655,-82.53991785558668,"[(np.float64(27.35614479205), np.float64(-82.54498457621332)), (np.float64(27.36064479655), np.float64(-82.53991785558668))]"
25,1340,1,202302,-82.5300954268,27.35156531,27.34931530775,-82.53262863089321,27.353815312250003,-82.52756222270679,"[(np.float64(27.34931530775), np.float64(-82.53262863089321)), (np.float64(27.353815312250003), np.float64(-82.52756222270679))]"
26,772,0,202302,-82.5299841846,27.3281840914,27.32593408915,-82.53251685428103,27.330434093650002,-82.52745151491897,"[(np.float64(27.32593408915), np.float64(-82.53251685428103)), (np.float64(27.330434093650002), np.float64(-82.52745151491897))]"
27,1231,1,202302,-82.5315635092,27.3364304439,27.33418044165,-82.53409636728966,27.33868044615,-82.52903065111033,"[(np.float64(27.33418044165), np.float64(-82.53409636728966)), (np.float64(27.33868044615), np.float64(-82.52903065111033))]"
28,246,0,202302,-82.5362764459,27.3556678731,27.35341787085,-82.5388097438301,27.35791787535,-82.5337431479699,"[(np.float64(27.35341787085), np.float64(-82.5388097438301)), (np.float64(27.35791787535), np.float64(-82.5337431479699))]"
29,1114,1,202302,-82.5438774029,27.3350076592,27.332757656949997,-82.54641022847683,27.33725766145,-82.54134457732316,"[(np.float64(27.332757656949997), np.float64(-82.54641022847683)), (np.float64(27.33725766145), np.float64(-82.54134457732316))]"
30,1931,0,202302,-82.4976816877,27.3365552502,27.33430524795,-82.5002145486418,27.33880525245,-82.4951488267582,"[(np.float64(27.33430524795), np.float64(-82.5002145486418)), (np.float64(27.33880525245), np.float64(-82.4951488267582))]"
31,1573,0,202302,-82.5454107258,27.3336262921,27.33137628985,-82.54794351981275,27.33587629435,-82.54287793178725,"[(np.float64(27.33137628985), np.float64(-82.54794351981275)), (np.float64(27.33587629435), np.float64(-82.54287793178725))]"
32,1135,1,202302,-82.5347559234,27.3597998638,27.357549861549998,-82.53728931586024,27.36204986605,-82.53222253093976,"[(np.float64(27.357549861549998), np.float64(-82.53728931586024)), (np.float64(27.36204986605), np.float64(-82.53222253093976))]"
33,1681,0,202302,-82.5300234312,27.3364362952,27.334186292949997,-82.53255628942338,27.33868629745,-82.5274905729766,"[(np.float64(27.334186292949997), np.float64(-82.53255628942338)), (np.float64(27.33868629745), np.float64(-82.5274905729766))]"
34,1383,0,202302,-82.5470520745,27.3542506892,27.35200068695,-82.54958534001297,27.35650069145,-82.54451880898704,"[(np.float64(27.35200068695), np.float64(-82.54958534001297)), (np.float64(27.35650069145), np.float64(-82.54451880898704))]"
35,1326,2,202302,-82.5392705489,27.3377762972,27.33552629495,-82.54180343774672,27.340026299450003,-82.53673766005329,"[(np.float64(27.33552629495), np.float64(-82.54180343774672)), (np.float64(27.340026299450003), np.float64(-82.53673766005329))]"
36,1163,1,202302,-82.5469642633,27.3363709976,27.33412099535,-82.54949712003118,27.33862099985,-82.54443140656882,"[(np.float64(27.33412099535), np.float64(-82.54949712003118)), (np.float64(27.33862099985), np.float64(-82.54443140656882))]"
37,2671,3,202302,-82.5331891729,27.354304308,27.35205430575,-82.5357224396394,27.35655431025,-82.53065590616059,"[(np.float64(27.35205430575), np.float64(-82.5357224396394)), (np.float64(27.35655431025), np.float64(-82.53065590616059))]"
