Rank,grid_id,Actual_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
1,1299,26,202303,-82.5423775208,27.3432658249,27.34258400547851,-82.54314510152564,27.343947644321492,-82.54160994007437,"[(np.float64(27.34258400547851), np.float64(-82.54314510152564)), (np.float64(27.343947644321492), np.float64(-82.54160994007437))]"
2,1427,10,202303,-82.5301150717,27.3556913992,27.35500957977851,-82.5308827385306,27.356373218621492,-82.5293474048694,"[(np.float64(27.35500957977851), np.float64(-82.5308827385306)), (np.float64(27.356373218621492), np.float64(-82.5293474048694))]"
3,449,7,202303,-82.5408106431,27.3377703438,27.33708852437851,-82.54157818576152,27.33845216322149,-82.54004310043848,"[(np.float64(27.33708852437851), np.float64(-82.54157818576152)), (np.float64(27.33845216322149), np.float64(-82.54004310043848))]"
4,873,6,202303,-82.5392838639,27.340527025,27.33984520557851,-82.54005142565416,27.34120884442149,-82.53851630214584,"[(np.float64(27.33984520557851), np.float64(-82.54005142565416)), (np.float64(27.34120884442149), np.float64(-82.53851630214584))]"
5,2125,5,202303,-82.5331760006,27.3515535829,27.35087176347851,-82.5339436387508,27.35223540232149,-82.53240836244919,"[(np.float64(27.35087176347851), np.float64(-82.5339436387508)), (np.float64(27.35223540232149), np.float64(-82.53240836244919))]"
6,2725,4,202303,-82.5408306733,27.3418964339,27.34121461447851,-82.54159824453961,27.34257825332149,-82.54006310206037,"[(np.float64(27.34121461447851), np.float64(-82.54159824453961)), (np.float64(27.34257825332149), np.float64(-82.54006310206037))]"
7,296,4,202303,-82.5130825427,27.3364995386,27.335817719178507,-82.51385007656091,27.33718135802149,-82.5123150088391,"[(np.float64(27.335817719178507), np.float64(-82.51385007656091)), (np.float64(27.33718135802149), np.float64(-82.5123150088391))]"
8,881,4,202303,-82.5408039673,27.3363949798,27.33571316037851,-82.54157150043683,27.337076799221492,-82.54003643416316,"[(np.float64(27.33571316037851), np.float64(-82.54157150043683)), (np.float64(27.337076799221492), np.float64(-82.54003643416316))]"
9,1411,4,202303,-82.5378367228,27.3597880306,27.35910621117851,-82.53860441803099,27.36046985002149,-82.537069027569,"[(np.float64(27.35910621117851), np.float64(-82.53860441803099)), (np.float64(27.36046985002149), np.float64(-82.537069027569))]"
10,705,4,202303,-82.531668553,27.3584362673,27.35775444787851,-82.53243623885906,27.35911808672149,-82.53090086714094,"[(np.float64(27.35775444787851), np.float64(-82.53243623885906)), (np.float64(27.35911808672149), np.float64(-82.53090086714094))]"
11,1768,3,202303,-82.5301216209,27.3570667618,27.356384942378508,-82.53088929726479,27.35774858122149,-82.52935394453522,"[(np.float64(27.356384942378508), np.float64(-82.53088929726479)), (np.float64(27.35774858122149), np.float64(-82.52935394453522))]"
12,193,3,202303,-82.542344042,27.3363890098,27.33570719037851,-82.5431115750955,27.337070829221492,-82.5415765089045,"[(np.float64(27.33570719037851), np.float64(-82.5431115750955)), (np.float64(27.337070829221492), np.float64(-82.5415765089045))]"
13,529,3,202303,-82.5348181715,27.3665390882,27.36585726877851,-82.53558591354667,27.36722090762149,-82.53405042945334,"[(np.float64(27.36585726877851), np.float64(-82.53558591354667)), (np.float64(27.36722090762149), np.float64(-82.53405042945334))]"
14,2542,3,202303,-82.5423708241,27.3418904624,27.341208642978508,-82.54313839529826,27.34257228182149,-82.54160325290175,"[(np.float64(27.341208642978508), np.float64(-82.54313839529826)), (np.float64(27.34257228182149), np.float64(-82.54160325290175))]"
15,1274,3,202303,-82.4930492509,27.3338208833,27.33313906387851,-82.49381676621252,27.33450270272149,-82.49228173558748,"[(np.float64(27.33313906387851), np.float64(-82.49381676621252)), (np.float64(27.33450270272149), np.float64(-82.49228173558748))]"
16,1706,3,202303,-82.5332089348,27.3584303935,27.35774857407851,-82.53397662061835,27.35911221292149,-82.53244124898166,"[(np.float64(27.35774857407851), np.float64(-82.53397662061835)), (np.float64(27.35911221292149), np.float64(-82.53244124898166))]"
17,1099,3,202303,-82.5424512159,27.3583947943,27.35771297487851,-82.54321890147153,27.35907661372149,-82.54168353032847,"[(np.float64(27.35771297487851), np.float64(-82.54321890147153)), (np.float64(27.35907661372149), np.float64(-82.54168353032847))]"
18,2099,3,202303,-82.5146734595,27.3474968242,27.34681500477851,-82.5154410695388,27.34817864362149,-82.51390584946121,"[(np.float64(27.34681500477851), np.float64(-82.5154410695388)), (np.float64(27.34817864362149), np.float64(-82.51390584946121))]"
