Rank,grid_id,Predicted_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
41,2639,0,202303,-82.539390452,27.3625328076,27.36185098817851,-82.54015816626287,27.36321462702149,-82.53862273773714,"[(np.float64(27.36185098817851), np.float64(-82.54015816626287)), (np.float64(27.36321462702149), np.float64(-82.53862273773714))]"
42,1340,0,202303,-82.5300954268,27.35156531,27.35088349057851,-82.53086306503208,27.352247129421492,-82.52932778856793,"[(np.float64(27.35088349057851), np.float64(-82.53086306503208)), (np.float64(27.352247129421492), np.float64(-82.52932778856793))]"
43,1768,0,202303,-82.5301216209,27.3570667618,27.356384942378508,-82.53088929726479,27.35774858122149,-82.52935394453522,"[(np.float64(27.356384942378508), np.float64(-82.53088929726479)), (np.float64(27.35774858122149), np.float64(-82.52935394453522))]"
44,2130,0,202303,-82.5130762096,27.3351241683,27.334442348878508,-82.51384373393681,27.33580598772149,-82.51230868526319,"[(np.float64(27.334442348878508), np.float64(-82.51384373393681)), (np.float64(27.33580598772149), np.float64(-82.51230868526319))]"
45,2505,0,202303,-82.5392772062,27.3391516612,27.338469841778508,-82.54004475842811,27.33983348062149,-82.53850965397189,"[(np.float64(27.338469841778508), np.float64(-82.54004475842811)), (np.float64(27.33983348062149), np.float64(-82.53850965397189))]"
46,1158,0,202303,-82.5253967091,27.3350783794,27.334396559978508,-82.52616423311974,27.33576019882149,-82.52462918508024,"[(np.float64(27.334396559978508), np.float64(-82.52616423311974)), (np.float64(27.33576019882149), np.float64(-82.52462918508024))]"
47,2753,0,202303,-82.548551742,27.3459924891,27.345310669678508,-82.54931934161574,27.34667430852149,-82.54778414238426,"[(np.float64(27.345310669678508), np.float64(-82.54931934161574)), (np.float64(27.34667430852149), np.float64(-82.54778414238426))]"
48,404,0,202303,-82.5362830712,27.3570432342,27.356361414778508,-82.5370507474017,27.35772505362149,-82.53551539499831,"[(np.float64(27.356361414778508), np.float64(-82.5370507474017)), (np.float64(27.35772505362149), np.float64(-82.53551539499831))]"
49,506,0,202303,-82.5298534835,27.3006766746,27.299994855178507,-82.53062076951774,27.30135849402149,-82.52908619748227,"[(np.float64(27.299994855178507), np.float64(-82.53062076951774)), (np.float64(27.30135849402149), np.float64(-82.52908619748227))]"
50,904,0,202303,-82.5776729564,27.3183673694,27.31768554997851,-82.57844036475463,27.31904918882149,-82.57690554804536,"[(np.float64(27.31768554997851), np.float64(-82.57844036475463)), (np.float64(27.31904918882149), np.float64(-82.57690554804536))]"
51,2199,0,202303,-82.5378433686,27.3611633906,27.36048157117851,-82.53861107336719,27.361845210021492,-82.5370756638328,"[(np.float64(27.36048157117851), np.float64(-82.53861107336719)), (np.float64(27.361845210021492), np.float64(-82.5370756638328))]"
52,2810,0,202303,-82.5409308885,27.3625268479,27.36184502847851,-82.54169860272154,27.36320866732149,-82.54016317427846,"[(np.float64(27.36184502847851), np.float64(-82.54169860272154)), (np.float64(27.36320866732149), np.float64(-82.54016317427846))]"
53,524,0,202303,-82.5393637936,27.3570313685,27.35634954907851,-82.54013146971944,27.35771318792149,-82.53859611748057,"[(np.float64(27.35634954907851), np.float64(-82.54013146971944)), (np.float64(27.35771318792149), np.float64(-82.53859611748057))]"
54,1231,0,202303,-82.5315635092,27.3364304439,27.33574862447851,-82.53233104258243,27.33711226332149,-82.53079597581757,"[(np.float64(27.33574862447851), np.float64(-82.53233104258243)), (np.float64(27.33711226332149), np.float64(-82.53079597581757))]"
55,1681,0,202303,-82.5300234312,27.3364362952,27.335754475778508,-82.53079096462294,27.33711811462149,-82.52925589777705,"[(np.float64(27.335754475778508), np.float64(-82.53079096462294)), (np.float64(27.33711811462149), np.float64(-82.52925589777705))]"
56,2114,0,202303,-82.5285094504,27.3419435946,27.34126177517851,-82.5292770219663,27.34262541402149,-82.5277418788337,"[(np.float64(27.34126177517851), np.float64(-82.5292770219663)), (np.float64(27.34262541402149), np.float64(-82.5277418788337))]"
57,296,0,202303,-82.5130825427,27.3364995386,27.335817719178507,-82.51385007656091,27.33718135802149,-82.5123150088391,"[(np.float64(27.335817719178507), np.float64(-82.51385007656091)), (np.float64(27.33718135802149), np.float64(-82.5123150088391))]"
58,150,0,202303,-82.5378300775,27.3584126704,27.35773085097851,-82.53859776319547,27.35909448982149,-82.53706239180454,"[(np.float64(27.35773085097851), np.float64(-82.53859776319547)), (np.float64(27.35909448982149), np.float64(-82.53706239180454))]"
59,641,0,202303,-82.543978153,27.3556380831,27.35495626367851,-82.54474581946101,27.35631990252149,-82.54321048653898,"[(np.float64(27.35495626367851), np.float64(-82.54474581946101)), (np.float64(27.35631990252149), np.float64(-82.54321048653898))]"
60,116,0,202303,-82.5315766331,27.3391811756,27.33849935617851,-82.53234418553254,27.33986299502149,-82.53080908066747,"[(np.float64(27.33849935617851), np.float64(-82.53234418553254)), (np.float64(27.33986299502149), np.float64(-82.53080908066747))]"
61,85,0,202303,-82.5393704575,27.3584067287,27.35772490927851,-82.54013814315428,27.35908854812149,-82.53860277184572,"[(np.float64(27.35772490927851), np.float64(-82.54013814315428)), (np.float64(27.35908854812149), np.float64(-82.53860277184572))]"
62,34,0,202303,-82.5115487739,27.3378805566,27.337198737178507,-82.5123163173248,27.33856237602149,-82.5107812304752,"[(np.float64(27.337198737178507), np.float64(-82.5123163173248)), (np.float64(27.33856237602149), np.float64(-82.5107812304752))]"
63,1078,0,202303,-82.5393837866,27.3611574482,27.36047562877851,-82.54015149132599,27.36183926762149,-82.53861608187401,"[(np.float64(27.36047562877851), np.float64(-82.54015149132599)), (np.float64(27.36183926762149), np.float64(-82.53861608187401))]"
64,2142,0,202303,-82.540797292,27.3350196156,27.33433779617851,-82.54156481561283,27.33570143502149,-82.54002976838716,"[(np.float64(27.33433779617851), np.float64(-82.54156481561283)), (np.float64(27.33570143502149), np.float64(-82.54002976838716))]"
65,2363,0,202303,-82.494607617,27.3379415628,27.33725974337851,-82.4953751608473,27.338623382221492,-82.4938400731527,"[(np.float64(27.33725974337851), np.float64(-82.4953751608473)), (np.float64(27.338623382221492), np.float64(-82.4938400731527))]"
66,1114,0,202303,-82.5438774029,27.3350076592,27.334325839778508,-82.54464492643004,27.33568947862149,-82.54310987936995,"[(np.float64(27.334325839778508), np.float64(-82.54464492643004)), (np.float64(27.33568947862149), np.float64(-82.54310987936995))]"
67,2606,0,202303,-82.5238760484,27.3392102656,27.338528446178508,-82.524643601034,27.33989208502149,-82.523108495766,"[(np.float64(27.338528446178508), np.float64(-82.524643601034)), (np.float64(27.33989208502149), np.float64(-82.523108495766))]"
68,1383,0,202303,-82.5470520745,27.3542506892,27.35356886977851,-82.54781973134413,27.35493250862149,-82.54628441765587,"[(np.float64(27.35356886977851), np.float64(-82.54781973134413)), (np.float64(27.35493250862149), np.float64(-82.54628441765587))]"
69,1066,0,202303,-82.5377304543,27.3377822337,27.33710041427851,-82.53849799704386,27.33846405312149,-82.53696291155615,"[(np.float64(27.33710041427851), np.float64(-82.53849799704386)), (np.float64(27.33846405312149), np.float64(-82.53696291155615))]"
70,705,0,202303,-82.531668553,27.3584362673,27.35775444787851,-82.53243623885906,27.35911808672149,-82.53090086714094,"[(np.float64(27.35775444787851), np.float64(-82.53243623885906)), (np.float64(27.35911808672149), np.float64(-82.53090086714094))]"
71,2743,0,202303,-82.5329260834,27.2992895999,27.29860778047851,-82.5336933598304,27.29997141932149,-82.5321588069696,"[(np.float64(27.29860778047851), np.float64(-82.5336933598304)), (np.float64(27.29997141932149), np.float64(-82.5321588069696))]"
72,1187,0,202303,-82.528418141,27.3226884476,27.32200662817851,-82.52918557925334,27.32337026702149,-82.52765070274667,"[(np.float64(27.32200662817851), np.float64(-82.52918557925334)), (np.float64(27.32337026702149), np.float64(-82.52765070274667))]"
73,339,0,202303,-82.5439311229,27.3460105596,27.34532874017851,-82.54469872264094,27.34669237902149,-82.54316352315907,"[(np.float64(27.34532874017851), np.float64(-82.54469872264094)), (np.float64(27.34669237902149), np.float64(-82.54316352315907))]"
74,1798,0,202303,-82.5532885542,27.369355335,27.36867351557851,-82.55405631578095,27.370037154421492,-82.55252079261903,"[(np.float64(27.36867351557851), np.float64(-82.55405631578095)), (np.float64(27.370037154421492), np.float64(-82.55252079261903))]"
75,732,0,202303,-82.5517412063,27.3679860773,27.36730425787851,-82.55250895838304,27.36866789672149,-82.55097345421694,"[(np.float64(27.36730425787851), np.float64(-82.55250895838304)), (np.float64(27.36866789672149), np.float64(-82.55097345421694))]"
76,983,0,202303,-82.542444514,27.3570194348,27.35633761537851,-82.5432121900367,27.357701254221492,-82.5416768379633,"[(np.float64(27.35633761537851), np.float64(-82.5432121900367)), (np.float64(27.357701254221492), np.float64(-82.5416768379633))]"
77,2510,0,202303,-82.5439244063,27.344635198,27.343953378578508,-82.5446919965122,27.34531701742149,-82.54315681608779,"[(np.float64(27.343953378578508), np.float64(-82.5446919965122)), (np.float64(27.34531701742149), np.float64(-82.54315681608779))]"
78,375,0,202303,-82.5301347208,27.359817486,27.35913566657851,-82.53090241623522,27.36049930542149,-82.52936702536479,"[(np.float64(27.35913566657851), np.float64(-82.53090241623522)), (np.float64(27.36049930542149), np.float64(-82.52936702536479))]"
79,1040,0,202303,-82.5470047814,27.3446231687,27.34394134927851,-82.54777237152888,27.34530498812149,-82.54623719127113,"[(np.float64(27.34394134927851), np.float64(-82.54777237152888)), (np.float64(27.34530498812149), np.float64(-82.54623719127113))]"
80,720,0,202303,-82.5300888794,27.3501899464,27.34950812697851,-82.53085650810058,27.35087176582149,-82.52932125069941,"[(np.float64(27.34950812697851), np.float64(-82.53085650810058)), (np.float64(27.35087176582149), np.float64(-82.52932125069941))]"
81,893,0,202303,-82.5300626945,27.3446884892,27.34400666977851,-82.53083028508141,27.34537030862149,-82.5292951039186,"[(np.float64(27.34400666977851), np.float64(-82.53083028508141)), (np.float64(27.34537030862149), np.float64(-82.5292951039186))]"
82,2071,0,202303,-82.5316422808,27.352934818,27.35225299857851,-82.53240992852365,27.353616637421492,-82.53087463307635,"[(np.float64(27.35225299857851), np.float64(-82.53240992852365)), (np.float64(27.353616637421492), np.float64(-82.53087463307635))]"
83,512,0,202303,-82.5469912735,27.3418724461,27.341190626678507,-82.54775884457347,27.34255426552149,-82.54622370242653,"[(np.float64(27.341190626678507), np.float64(-82.54775884457347)), (np.float64(27.34255426552149), np.float64(-82.54622370242653))]"
84,148,0,202303,-82.5501666994,27.3611153756,27.36043355617851,-82.55093440383426,27.36179719502149,-82.54939899496573,"[(np.float64(27.36043355617851), np.float64(-82.55093440383426)), (np.float64(27.36179719502149), np.float64(-82.54939899496573))]"
85,216,0,202303,-82.5454309228,27.3377523815,27.33707056207851,-82.54619846533711,27.33843420092149,-82.54466338026288,"[(np.float64(27.33707056207851), np.float64(-82.54619846533711)), (np.float64(27.33843420092149), np.float64(-82.54466338026288))]"
86,113,0,202303,-82.5501870965,27.3652414455,27.36455962607851,-82.5509548295468,27.36592326492149,-82.5494193634532,"[(np.float64(27.36455962607851), np.float64(-82.5509548295468)), (np.float64(27.36592326492149), np.float64(-82.5494193634532))]"
87,1463,0,202303,-82.5424311115,27.354268715,27.35358689557851,-82.54319876846907,27.35495053442149,-82.54166345453092,"[(np.float64(27.35358689557851), np.float64(-82.54319876846907)), (np.float64(27.35495053442149), np.float64(-82.54166345453092))]"
88,1904,0,202303,-82.5393771218,27.3597820886,27.35910026917851,-82.5401448169898,27.36046390802149,-82.53860942661021,"[(np.float64(27.35910026917851), np.float64(-82.5401448169898)), (np.float64(27.36046390802149), np.float64(-82.53860942661021))]"
89,227,0,202303,-82.5347427094,27.3570491416,27.35636732217851,-82.53551038564265,27.357730961021492,-82.53397503315736,"[(np.float64(27.35636732217851), np.float64(-82.53551038564265)), (np.float64(27.357730961021492), np.float64(-82.53397503315736))]"
90,1897,0,202303,-82.5377238165,27.3364068691,27.33572504967851,-82.53849134971918,27.33708868852149,-82.53695628328083,"[(np.float64(27.33572504967851), np.float64(-82.53849134971918)), (np.float64(27.33708868852149), np.float64(-82.53695628328083))]"
91,1297,0,202303,-82.54542419,27.3363770187,27.335695199278508,-82.54619172301247,27.33705883812149,-82.54465665698754,"[(np.float64(27.335695199278508), np.float64(-82.54619172301247)), (np.float64(27.33705883812149), np.float64(-82.54465665698754))]"
92,1983,0,202303,-82.5300365171,27.3391870276,27.33850520817851,-82.53080406957307,27.339868847021492,-82.52926896462694,"[(np.float64(27.33850520817851), np.float64(-82.53080406957307)), (np.float64(27.339868847021492), np.float64(-82.52926896462694))]"
93,1619,0,202303,-82.5439378401,27.3473859209,27.346704101478508,-82.54470544937035,27.34806774032149,-82.54317023082965,"[(np.float64(27.346704101478508), np.float64(-82.54470544937035)), (np.float64(27.34806774032149), np.float64(-82.54317023082965))]"
94,593,0,202303,-82.5347493162,27.3584245028,27.357742683378508,-82.53551700197751,27.35910632222149,-82.5339816304225,"[(np.float64(27.357742683378508), np.float64(-82.53551700197751)), (np.float64(27.35910632222149), np.float64(-82.5339816304225))]"
95,1744,0,202303,-82.5299384181,27.3185565079,27.317874688478508,-82.5307058277632,27.31923832732149,-82.5291710084368,"[(np.float64(27.317874688478508), np.float64(-82.5307058277632)), (np.float64(27.31923832732149), np.float64(-82.5291710084368))]"
96,617,0,202303,-82.5331035867,27.3364245757,27.33574275627851,-82.53387112004178,27.33710639512149,-82.53233605335821,"[(np.float64(27.33574275627851), np.float64(-82.53387112004178)), (np.float64(27.33710639512149), np.float64(-82.53233605335821))]"
97,1334,0,202303,-82.5316225816,27.3488087281,27.34812690867851,-82.53239020072921,27.34949054752149,-82.5308549624708,"[(np.float64(27.34812690867851), np.float64(-82.53239020072921)), (np.float64(27.34949054752149), np.float64(-82.5308549624708))]"
98,2622,0,202303,-82.5408173194,27.3391457074,27.33846388797851,-82.54158487158688,27.33982752682149,-82.54004976721313,"[(np.float64(27.33846388797851), np.float64(-82.54158487158688)), (np.float64(27.33982752682149), np.float64(-82.54004976721313))]"
99,88,0,202303,-82.519281337,27.3447289869,27.34404716747851,-82.52004892786196,27.345410806321492,-82.51851374613803,"[(np.float64(27.34404716747851), np.float64(-82.52004892786196)), (np.float64(27.345410806321492), np.float64(-82.51851374613803))]"
100,621,0,202303,-82.5130888764,27.3378749087,27.33719308927851,-82.51385641978568,27.338556728121493,-82.51232133301433,"[(np.float64(27.33719308927851), np.float64(-82.51385641978568)), (np.float64(27.338556728121493), np.float64(-82.51232133301433))]"
